hand_value_id,game_id,player_hand_value,banker_hand_value
HVID-XCD6HS,GID-0I8ML0,5,7
HVID-9839ED,GID-SJZ6N7,1,9
HVID-ORHXSI,GID-IIN1L2,9,9
HVID-IUEYXE,GID-SFZOV5,7,8
HVID-4UB12J,GID-1POULH,0,7
HVID-W0ZH0C,GID-NSUX46,7,0
HVID-YJBH1V,GID-SZNIXN,1,8
HVID-90PH91,GID-HBZ5GQ,0,9
HVID-39JRKK,GID-KMSYD2,6,2
HVID-7PU8G0,GID-9XC2VA,8,3
HVID-V6IKRW,GID-XV43L7,1,7
HVID-VYFKG4,GID-AIDLFE,3,7
HVID-P6AM1V,GID-IK9Z71,1,6
HVID-0OAQU5,GID-YRVNZB,9,2
HVID-IXM6TK,GID-ULCG6H,0,8
HVID-1WOUXY,GID-AA39QO,7,7
HVID-A09LA1,GID-Q482M5,6,0
HVID-HWA5RW,GID-TUCB3C,2,9
HVID-FNV1XX,GID-48VAKY,8,9
HVID-WO6A0Z,GID-LPJEBH,9,8
HVID-KJPVXB,GID-9ER0ER,2,8
HVID-93HEXU,GID-2NQZXX,2,6
HVID-FHRMAH,GID-90JBHN,4,0
HVID-HQOY0I,GID-IU7KLQ,9,8
HVID-BHV1RA,GID-OWNS9E,8,6
HVID-KDLMV1,GID-C9UCF6,8,7
HVID-HKQCPZ,GID-3KQZ0U,1,8
HVID-1SZQRG,GID-OZH51E,1,7
HVID-8HXDDG,GID-FDIM01,5,7
HVID-UQB773,GID-ORHLZA,0,9
HVID-JUO3LO,GID-B0H49U,7,1
HVID-Z45XU5,GID-O47LHE,9,7
HVID-5HC3C3,GID-0NZ3LI,9,7
HVID-9HYQ3K,GID-AZ9O52,9,9
HVID-QZTXSY,GID-KZQ4UX,8,4
HVID-L2SJWT,GID-J5BRHB,8,9
HVID-PO1QHE,GID-RNH5JA,8,3
HVID-6G3LR5,GID-ZIBL8N,8,7
HVID-ZUOFWV,GID-CHHRM0,5,6
HVID-TUG7FJ,GID-NI4P89,6,7
HVID-WVNX4L,GID-FRDHEC,4,4
HVID-S4K6R5,GID-QK0ARM,7,8
HVID-DAN53C,GID-PN6KNX,4,7
HVID-IHN15M,GID-G0KF19,4,6
HVID-1WY75H,GID-YY5U73,7,9
HVID-PV9JVE,GID-SVQ8X3,8,8
HVID-31V5YT,GID-VV96WS,8,9
HVID-FBPXVY,GID-AN65SL,9,9
HVID-SGUY2U,GID-EOECDW,6,9
HVID-D1I8E2,GID-G084O3,9,8
HVID-WAPZAL,GID-XQGOZX,2,7
HVID-G16R6E,GID-0KBL7A,8,9
HVID-3WWDQ7,GID-8LKFZY,8,8
HVID-7YBP15,GID-4DOCII,9,6
HVID-WQD35F,GID-W146K1,5,7
HVID-ZO9241,GID-TZWCJ4,2,8
HVID-T3QWDZ,GID-R801L9,3,8
HVID-7G8G7R,GID-96094W,8,7
HVID-3JXNUN,GID-Y8ZPNZ,7,5
HVID-9O11CS,GID-05FOKQ,1,0
HVID-BPWHID,GID-0EEO9K,7,8
HVID-SFAHP5,GID-AIN8RR,7,9
HVID-QRH534,GID-1AEHNY,2,7
HVID-GCHAFC,GID-4D6K4S,1,3
HVID-V336KV,GID-GH258H,7,9
HVID-9IUC03,GID-86C363,6,9
HVID-IWRQ37,GID-6PYTR1,7,0
HVID-PD9R85,GID-C6YF32,4,7
HVID-YJ5ABK,GID-NCSSCT,7,8
HVID-VAXZBN,GID-A1AHYG,5,9
HVID-86ZARW,GID-4DZS6J,3,2
HVID-HSX1NH,GID-CX6W6R,0,9
HVID-PGUSDR,GID-WQ590G,0,0
HVID-JIL7UK,GID-GTR8L0,9,5
HVID-1MVGCD,GID-2GPEBN,6,9
HVID-RUWCFE,GID-C61QZ3,6,8
HVID-7L1SHT,GID-78FPIZ,6,2
HVID-0LK148,GID-Q6OA4T,6,6
HVID-MBLTOV,GID-JK5BDO,9,7
HVID-8GS2LH,GID-D0L6B2,9,8
HVID-FUUIQU,GID-Z11O8S,9,7
HVID-5T5K1J,GID-MCKZUQ,7,7
HVID-SGIIE1,GID-HYILM3,8,7
HVID-S3NQL1,GID-3I1TSO,8,6
HVID-DBRGGS,GID-TLVRVD,3,6
HVID-PY7ZHK,GID-D0JU61,7,7
HVID-XVB3T0,GID-X34V85,9,2
HVID-PYOM2N,GID-YQEO0F,3,8
HVID-IM71LA,GID-DIYD23,3,9
HVID-RB89ZM,GID-JQK93J,0,9
HVID-N0BQYF,GID-JZKZYD,9,6
HVID-NS67KD,GID-2EFYE0,3,9
HVID-8GAD41,GID-YMPKZ9,1,7
HVID-5YPKGK,GID-WN0ANM,7,7
HVID-PCM56H,GID-5YAXB3,5,9
HVID-X12IXN,GID-R8W128,8,9
HVID-RNGDLD,GID-LIFS2J,7,7
HVID-7LHSEV,GID-CBASKT,2,7
HVID-WC6B55,GID-AULHIK,7,6
HVID-H5OV0J,GID-YUHW87,6,6
HVID-FVZEPJ,GID-UVVCRF,9,8
HVID-8X1FLB,GID-W9BAB3,5,6
HVID-N7O8B0,GID-36FJON,6,8
HVID-YV81WR,GID-P11J2G,7,8
HVID-GHXKBI,GID-61L0C5,2,0
HVID-CAOC4C,GID-ZXA7WH,2,9
HVID-LFUWIK,GID-LR70ZB,6,8
HVID-YRAJ3U,GID-KVDVWE,4,9
HVID-UOHIS4,GID-TPSC6E,9,7
HVID-ASEP1U,GID-HNKKLA,8,2
HVID-KZYKU5,GID-DZAG3W,7,9
HVID-HZH95S,GID-TTTL1V,1,7
HVID-65JE00,GID-2MBOEB,1,0
HVID-WW1S27,GID-6L24A5,6,9
HVID-JP61JB,GID-060E0U,6,8
HVID-5VGZJH,GID-9JA265,4,9
HVID-X2HCMO,GID-JDK6X6,7,7
HVID-3OA289,GID-NJVOAX,0,3
HVID-9TXF5T,GID-TJNNNP,7,9
HVID-LUHIQ1,GID-C24HNY,3,9
HVID-C59ZIR,GID-XR4H6B,3,0
HVID-4GHEGY,GID-UTMHQN,9,6
HVID-DIG5QX,GID-19ZE10,2,9
HVID-6FIA67,GID-35JAZ7,2,6
HVID-27W4AV,GID-45PUO4,6,7
HVID-G93USB,GID-7W0BOK,7,8
HVID-9SLXJZ,GID-J2Y0RK,0,8
HVID-WG1KKE,GID-XOTLBG,6,4
HVID-360RKF,GID-KZ34WP,9,9
HVID-3FCCNV,GID-THRI5P,9,8
HVID-J37M1G,GID-0Z4QWT,3,6
HVID-Z3KNVX,GID-EU5LQ9,4,3
HVID-DTBDLX,GID-RHSZVN,1,8
HVID-WBT0QR,GID-JYSYYA,8,0
HVID-H6WTSZ,GID-NM1JRQ,7,7
HVID-HCVBT0,GID-V5PX1S,0,8
HVID-9XABT7,GID-AJ569K,5,8
HVID-WOWVTM,GID-3HQMQ2,5,7
HVID-OB7EA1,GID-7V8ZI2,9,1
HVID-SFJ5R4,GID-OR2XJG,3,2
HVID-B3J4DK,GID-8SZXD8,9,8
HVID-NUMFBC,GID-5I64A1,8,9
HVID-Y227ZW,GID-Z3Y3A5,1,7
HVID-B0G82H,GID-XPIQRY,0,7
HVID-UF11W5,GID-A7AW2N,8,5
HVID-KOYX9Q,GID-62L288,5,8
HVID-DF4XBY,GID-H8A2R1,5,1
HVID-RINYFN,GID-OV8CPR,3,4
HVID-ZC62CE,GID-BREL1D,3,8
HVID-32Y275,GID-F13UW6,8,8
HVID-SSN6F0,GID-U6EWUZ,6,7
HVID-IQ8S5L,GID-FO4UTV,4,8
HVID-8TSTDU,GID-ON5I77,0,7
HVID-121NTB,GID-XVSUZ1,5,9
HVID-O36G0Y,GID-OFDLVP,6,8
HVID-CE7AYV,GID-BI0C2Q,6,5
HVID-QGVUSB,GID-AQJ5AZ,9,7
HVID-A2QR8E,GID-M6JPZ7,4,8
HVID-1FKXRB,GID-PLLBG9,5,7
HVID-XGS2UF,GID-TVEY1D,8,6
HVID-7K8628,GID-QLA3U8,8,1
HVID-UGUVBF,GID-S7PV2J,9,9
HVID-F4CAAS,GID-TV04ZT,4,0
HVID-9T88C1,GID-FI67T6,4,9
HVID-AY12ER,GID-VQN72P,8,8
HVID-3TM2IS,GID-H5UAIE,9,7
HVID-SM2B4Z,GID-D6T6XS,2,8
HVID-YNO8VT,GID-C2098D,9,8
HVID-ZVV7BW,GID-FZOCHM,1,7
HVID-E939P3,GID-1N6172,8,9
HVID-35R3CR,GID-QOJSDA,9,0
HVID-UW8CBT,GID-LN3HOM,4,9
HVID-OU5I9P,GID-R2F2YW,0,8
HVID-0Q5ZFV,GID-41XWJJ,9,6
HVID-0M4RUO,GID-WYSWWX,8,0
HVID-5VEIIS,GID-RIRAFZ,9,7
HVID-0WI2RW,GID-G8ZPJQ,2,8
HVID-RL2MR8,GID-KRVEF6,8,7
HVID-IBUCYK,GID-IONC0A,9,7
HVID-BE9I4U,GID-W57HWU,7,3
HVID-HJYYQ0,GID-E7W350,6,9
HVID-9ZFS0Z,GID-IO7ZXX,7,7
HVID-PXO770,GID-PING6Z,3,9
HVID-4BVMXV,GID-KC0W9D,0,2
HVID-AIO4PP,GID-B2C0FQ,9,7
HVID-8HITRN,GID-0LEEXT,9,9
HVID-BUYU9U,GID-PKHUZ9,8,1
HVID-GSZNFX,GID-NJXBI9,2,8
HVID-KMU5PX,GID-COSF1E,9,8
HVID-GYGR96,GID-4SVEWO,3,1
HVID-1DIU6V,GID-GIQB24,6,6
HVID-5NI10N,GID-TCGD7K,9,3
HVID-IUZPBB,GID-RGQ371,6,7
HVID-GFBPGO,GID-57STHG,6,1
HVID-2IZF13,GID-HMSIJ9,2,9
HVID-J1GGG6,GID-NN5DAR,1,0
HVID-DYYEMR,GID-DQ9D1Y,1,6
HVID-0JBOX6,GID-ZBFD9C,8,9
HVID-HV33Y9,GID-WXJD4V,2,4
HVID-G08133,GID-PNUM1J,9,7
HVID-MSE1GF,GID-21UQR5,6,1
HVID-X8HHWH,GID-KXNL4K,9,4
HVID-PVCQYV,GID-7L9EKB,2,7
HVID-M7HPQW,GID-FM99CY,6,7
HVID-8BF9NF,GID-0DLLMJ,0,9
HVID-7MN94F,GID-NJ1UW7,8,0
HVID-8G17LD,GID-FK5HM6,8,7
HVID-N150WZ,GID-VSYKJL,4,6
HVID-OR3O5I,GID-TILZDO,6,3
HVID-FJW7R7,GID-25WKSS,7,7
HVID-YBKDTM,GID-OEWLHF,9,0
HVID-WBC9QD,GID-RNXHTO,9,1
HVID-ZTXWKB,GID-8VS4QN,7,9
HVID-526HEO,GID-O5NWEI,9,7
HVID-373Y7S,GID-2KOT13,6,7
HVID-DZO71E,GID-GYJZO9,7,9
HVID-NDF4IL,GID-O0X614,2,0
HVID-B6IJQA,GID-1RJ72I,6,7
HVID-J64UCR,GID-7QBS16,6,5
HVID-C7LDML,GID-OIT84U,3,5
HVID-HA1LWL,GID-D762EP,2,9
HVID-PLP2XY,GID-V85BAD,4,0
HVID-WDC2VY,GID-NWPE52,1,6
HVID-0J3LGE,GID-92O6G2,2,9
HVID-FMC3J3,GID-CKU28T,2,8
HVID-20TDZ5,GID-2DMP5H,6,0
HVID-US4K79,GID-1AXJNR,0,9
HVID-2R6DQO,GID-R37HBL,3,7
HVID-14LKMF,GID-TO7MBX,7,0
HVID-4P7RBP,GID-LE51IT,3,8
HVID-AMOU4P,GID-PEBZMT,4,8
HVID-WRVO7Y,GID-7QRLX2,6,7
HVID-ZLX7DS,GID-98VPAI,9,3
HVID-QYWGYA,GID-4L49CE,1,0
HVID-IFGIAQ,GID-3JRGFG,3,9
HVID-XAV4JK,GID-J3YGLY,2,9
HVID-S9S6ZM,GID-J3U4E7,7,7
HVID-KHG6N4,GID-7J6O10,5,4
HVID-KSY11H,GID-IQMO4S,6,5
HVID-N9QEFX,GID-FZLWHC,8,8
HVID-1FIX2W,GID-N0F70O,3,8
HVID-9M9FX5,GID-C4ROGA,2,9
HVID-LHM48R,GID-NWDOG1,8,7
HVID-VSNVSZ,GID-PQ70WM,2,8
HVID-A6HIDV,GID-PVVOSW,8,7
HVID-WD6Q2W,GID-W3DQQZ,9,8
HVID-9EJXK8,GID-NOL6J2,7,8
HVID-IR7Z5D,GID-KS09QU,9,0
HVID-PNXKUG,GID-0SEXOQ,7,7
HVID-80XEGH,GID-CTNMGB,2,8
HVID-7EMCFN,GID-GJ56PO,8,8
HVID-D5SF82,GID-RZV3FB,4,3
HVID-PV5856,GID-0SE3YE,7,9
HVID-6UDB6O,GID-WCXXLO,3,6
HVID-S7NYMO,GID-35HSR9,5,9
HVID-4DXQW1,GID-09ZC9U,7,9
HVID-MZVAJZ,GID-4WFA1E,7,9
HVID-0IZ3UD,GID-5SJDXO,9,0
HVID-OHN22R,GID-HF7XW9,5,8
HVID-BMKM6E,GID-6U203D,6,9
HVID-RHLNZ0,GID-XTR5K3,3,9
HVID-R2MFVO,GID-VQ0R8P,9,0
HVID-5IO0SK,GID-W4SG0V,8,9
HVID-ZTU7WQ,GID-RF0M7H,5,6
HVID-IWOMPX,GID-4LM0QE,2,7
HVID-PEN7TD,GID-02Q0IJ,4,9
HVID-6Z8DY6,GID-QOO9MI,7,2
HVID-4B2ZRG,GID-TQSC5U,5,5
HVID-2BRIKC,GID-WBDDB7,5,8
HVID-1GD69C,GID-6X6G7O,8,7
HVID-81PVIZ,GID-CR8T13,7,8
HVID-F06UCY,GID-JF6TMK,7,4
HVID-YW39PW,GID-5JKNVK,8,7
HVID-7QDC7K,GID-ARPUY9,8,1
HVID-UX9WG2,GID-K2WR0K,0,8
HVID-JRR2V9,GID-GM4EE5,8,8
HVID-UPKRU0,GID-QENC6T,8,9
HVID-JKXT7P,GID-FWQUKH,9,3
HVID-3UH5HX,GID-5K1NX2,2,9
HVID-NK7ZDN,GID-CT4XC4,9,7
HVID-6IWBZ1,GID-DO4G0T,7,9
HVID-BY71CR,GID-ZBM490,1,9
HVID-WFWF0U,GID-TB1631,9,4
HVID-LFR0S8,GID-I2Q5EC,8,6
HVID-9D80UV,GID-L60QV7,9,2
HVID-09ISTX,GID-TS6C39,1,3
HVID-Q8OOJY,GID-91T5IF,6,9
HVID-G3T26E,GID-LLFP70,9,7
HVID-A9CM42,GID-H0SG6S,1,9
HVID-T02SPV,GID-EHTCCT,6,8
HVID-7DWJAE,GID-G72AJW,5,9
HVID-V6WH60,GID-SJRZ1G,8,7
HVID-3Y1V4B,GID-FT3IKX,5,8
HVID-078XB2,GID-H0EQJT,6,4
HVID-5TUHPC,GID-QYIWCF,9,5
HVID-74BU9O,GID-4UMHNT,5,1
HVID-QIO8MF,GID-U4BFJP,7,8
HVID-P8K2LE,GID-CN0B4H,9,9
HVID-1DOJWD,GID-IZX1XQ,7,7
HVID-W0F978,GID-GX7TVM,7,7
HVID-9G3NP9,GID-PWDE90,9,2
HVID-OGPMAM,GID-G6UKJG,6,5
HVID-IXXIF7,GID-JCSA4Y,8,9
HVID-HVYXC0,GID-U3IV7L,8,7
HVID-ACHRKM,GID-RO3Z8F,6,9
HVID-2KLDLR,GID-7IIF5U,2,7
HVID-TSZQ9F,GID-U8MXI1,2,8
HVID-LI5KHA,GID-A5CU2Y,4,9
HVID-60HWVR,GID-C1MTGQ,7,2
HVID-FEGJBW,GID-ORL0T3,2,9
HVID-TIX82T,GID-0N6WBD,1,1
HVID-5L6J70,GID-86PY1Q,3,7
HVID-RO4OG5,GID-V1O5AG,8,7
HVID-0OXU9J,GID-X5BK36,5,9
HVID-C4ZGGY,GID-6Y1ZFS,7,9
HVID-UJJG9Y,GID-ECRXY9,7,5
HVID-H7SUX8,GID-J8UYYS,9,3
HVID-Q8PP45,GID-FQG8AP,8,0
HVID-P10O5E,GID-QVZDAV,5,1
HVID-0FYS3P,GID-NZO5LV,8,4
HVID-JMRFII,GID-Z2GFYD,0,9
HVID-8FD7DX,GID-450478,5,7
HVID-9ITF5U,GID-IUJZIG,7,9
HVID-EBGA51,GID-W5P7SX,2,8
HVID-RBRGJ8,GID-KIDVBU,9,6
HVID-CW85XM,GID-SV5BNV,8,7
HVID-VVK92I,GID-NO5TEY,8,7
HVID-KKP00V,GID-PXT38U,9,2
HVID-8L4ZV5,GID-X2F5W0,6,7
HVID-Y8ZLTJ,GID-2MNYFC,0,2
HVID-UURQGK,GID-N4YSVM,6,2
HVID-OQE74I,GID-8EVDY4,6,8
HVID-2H7LI9,GID-GU3PSL,0,3
HVID-4KH4NZ,GID-OBX5I9,1,5
HVID-NV6CM2,GID-CAQQH8,5,0
HVID-6B4FWD,GID-HDQLML,9,9
HVID-AMIZZA,GID-O42W3R,6,7
HVID-1LRGWT,GID-ZJWPHC,0,7
HVID-HOE069,GID-3X4Z3B,9,4
HVID-QPCP48,GID-92U4I5,6,6
HVID-6D9X3G,GID-MB63JP,0,7
HVID-6PF7QI,GID-TUBR4H,8,7
HVID-T3NNTN,GID-WEMMP0,1,9
HVID-PP7F97,GID-8DOZFO,8,3
HVID-CS1751,GID-L8FZMO,7,6
HVID-EQGHPN,GID-093UK9,8,5
HVID-C1LMI9,GID-8CWHMQ,6,7
HVID-LZK95D,GID-TT340U,0,7
HVID-FVIX1V,GID-4WBPNO,4,9
HVID-LVEI03,GID-3M7J5Z,8,6
HVID-712XJX,GID-FUUU4C,0,8
HVID-UJL206,GID-XV9I65,0,1
HVID-OFXIDK,GID-VS7TR0,9,9
HVID-CYDBKH,GID-NLIPTQ,7,9
HVID-WKTXLL,GID-0B9UYO,0,9
HVID-7WFPNS,GID-FIQUCE,8,4
HVID-RNIYIG,GID-MN3UOC,7,9
HVID-8AQQP6,GID-W4X8D4,2,7
HVID-OGMH16,GID-IQIA7C,3,8
HVID-SWPQUM,GID-RXGWZ0,8,5
HVID-HH3KOS,GID-XFAWBS,9,7
HVID-AUYX5D,GID-2SMOBF,5,9
HVID-R6NOL3,GID-1R45AE,8,2
HVID-NYIB0R,GID-8Z3QLI,9,8
HVID-IN2YGB,GID-SZR246,7,6
HVID-3OVP16,GID-9R62LC,9,7
HVID-R58RNP,GID-P380X6,9,9
HVID-E1RTCW,GID-JUKHH1,5,9
HVID-Q2MX33,GID-ITVTB5,6,0
HVID-3T7GGD,GID-BJ2B9H,6,6
HVID-2F09YR,GID-62MEXT,2,9
HVID-TBWFHI,GID-X6PVKM,6,7
HVID-SWEWI0,GID-EFESAH,8,9
HVID-XZ51YT,GID-GPSFF6,8,8
HVID-R2FL61,GID-ZSE5DM,3,9
HVID-65685E,GID-PSCKSI,0,8
HVID-095J2B,GID-QVA67K,4,6
HVID-35RPJS,GID-LBVQWY,7,8
HVID-JD1XIA,GID-03C737,6,6
HVID-WRUS2M,GID-UBD4MO,3,7
HVID-HY1WIH,GID-9I7KLE,8,7
HVID-RFKA5Y,GID-74WMXS,9,8
HVID-IH52FE,GID-T9DJDD,9,5
HVID-16FBKE,GID-N5WFDQ,9,3
HVID-K4N8OP,GID-WF7MBK,7,7
HVID-K1I8P0,GID-3OC2D5,0,9
HVID-H74IUO,GID-0G8UKY,7,0
HVID-BNRUGG,GID-VJLU6I,3,7
HVID-DIS625,GID-F699ZC,1,7
HVID-DX0A65,GID-BCISUB,0,8
HVID-6HS351,GID-Y8J8ST,9,6
HVID-61AMK4,GID-C7AW67,2,6
HVID-MYBQRW,GID-JXZO1N,4,3
HVID-LCLCOB,GID-HIFBXG,6,5
HVID-AQSCSV,GID-0N6O5P,0,8
HVID-ZUNT90,GID-S9OC2C,3,5
HVID-QB2KWH,GID-ZUTJT2,7,8
HVID-ZHPW9L,GID-CPAW9V,6,9
HVID-J9AE2T,GID-684BUJ,6,7
HVID-R79ZRD,GID-AWQGO0,1,9
HVID-HOMYBZ,GID-Y0Y7Z2,6,9
HVID-CESXRH,GID-6BAJR2,5,7
HVID-VPSPXF,GID-GAWDRO,8,8
HVID-KJEVKB,GID-3FPC08,7,7
HVID-IPWVS2,GID-SQ3TD2,4,5
HVID-QPRGRH,GID-E34OLG,9,9
HVID-A2ROC3,GID-PBY209,8,0
HVID-F7Q7I2,GID-VHO95O,3,2
HVID-JLZD9U,GID-72OAK4,8,9
HVID-OZG8L4,GID-TNRWX3,2,0
HVID-ZNQ8LQ,GID-116EOQ,7,4
HVID-FJMRTK,GID-6Z0FXA,9,8
HVID-OI11TU,GID-A6BDY5,6,7
HVID-YATNWJ,GID-LO7QJV,6,7
HVID-BZWL13,GID-F4ZD9A,0,9
HVID-VP3LXH,GID-OS9GRM,8,8
HVID-J5UNO7,GID-A6E2VS,7,1
HVID-V5GFC1,GID-3LAPBP,6,3
HVID-MNELPL,GID-U546CT,4,8
HVID-3P26NA,GID-FKHX2D,0,9
HVID-ZNO2WC,GID-HLJE92,6,7
HVID-B2TW5B,GID-UX1HVV,0,8
HVID-01AA6S,GID-UTY9TR,3,8
HVID-PDIK3O,GID-WCP06D,7,0
HVID-MCXIZ5,GID-DUBIRR,9,9
HVID-MT1KQU,GID-6HT23S,2,8
HVID-FAMIE1,GID-SNLO11,4,4
HVID-3OYPX2,GID-YLQ32O,5,9
HVID-ZEEJ0T,GID-WZARTO,8,8
HVID-DJIKRM,GID-2OIAFD,0,8
HVID-JNW6V1,GID-NSYABX,7,7
HVID-3NQC8A,GID-SUA0W5,6,8
HVID-BG7VQ5,GID-9UAY5B,8,9
HVID-0SFJ0U,GID-K6BXEZ,2,9
HVID-TCYXNA,GID-A0780C,0,3
HVID-AO729C,GID-J23XLD,4,8
HVID-DXKCM6,GID-NVO77K,7,9
HVID-0X3X4S,GID-3B9G7N,8,5
HVID-SKVRCO,GID-QE6R8A,7,8
HVID-4XYYF9,GID-NNXEB7,8,9
HVID-UV15DL,GID-O9K82A,3,8
HVID-QQE0AJ,GID-KHANL6,4,7
HVID-FQY0FM,GID-MA84Y4,1,8
HVID-VEWZP4,GID-RLYIZ5,4,9
HVID-HSCD4H,GID-QB4G11,7,1
HVID-UID1IH,GID-ST892J,8,7
HVID-HUER98,GID-5LBVV8,8,8
HVID-AWVB00,GID-T1KEN5,7,8
HVID-W0GBP6,GID-79OK5S,7,8
HVID-3S5UGV,GID-N7ICU9,6,6
HVID-YIV6A6,GID-BHDVKC,1,0
HVID-L4Q6L4,GID-W0ZNV0,3,8
HVID-TZZXLH,GID-41TB7D,0,8
HVID-N2N9O5,GID-7A56PL,3,0
HVID-XMPRWS,GID-SH6XJY,4,0
HVID-C4YQOS,GID-Z6L0DS,1,8
HVID-CI7KFH,GID-KEBNA5,6,8
HVID-Y63DXY,GID-R94XI2,7,8
HVID-H2B3NX,GID-Z45691,3,9
HVID-979HOZ,GID-CQF9UD,6,9
HVID-J92P78,GID-H44K3P,9,9
HVID-UU0RE6,GID-FX0KHR,0,3
HVID-1J21LO,GID-UEHD8W,5,9
HVID-B0LOOA,GID-B2KRPL,5,7
HVID-5BSWT0,GID-Y7J2HZ,2,0
HVID-EM49QF,GID-OO5G6T,6,7
HVID-OMXK1S,GID-VURVTP,8,9
HVID-8AY4YT,GID-LVP9GY,6,6
HVID-13NQA2,GID-ZQICIX,9,9
HVID-JJSQ0C,GID-28OYML,2,1
HVID-MKQFPO,GID-RVGRIZ,6,6
HVID-TCVZ8H,GID-JW3702,1,8
HVID-EL8EN8,GID-OPREOT,9,6
HVID-B5CASX,GID-8FYRW9,9,7
HVID-90NNW4,GID-01QM8A,1,8
HVID-R73DJX,GID-J8HZ3Y,7,5
HVID-3DC21F,GID-YONMLO,1,8
HVID-MBSLH2,GID-XY694K,5,0
HVID-NBZNBY,GID-28SC4B,4,7
HVID-A8FDQX,GID-ROSX16,9,0
HVID-FXTDHE,GID-JRS4MD,8,9
HVID-DEYO2E,GID-F10COY,5,8
HVID-164FUS,GID-HMAOR2,2,8
HVID-G9AB9P,GID-0VF5ZL,8,7
HVID-JI2B3T,GID-LR0RFR,9,2
HVID-4EENO4,GID-TR6CKV,1,9
HVID-R7ABQZ,GID-9Y9CHK,6,2
HVID-0XK7XW,GID-O79WD8,6,9
HVID-C3MSC8,GID-ZVT3IM,8,7
HVID-9YPX0D,GID-KZ1TZ7,7,6
HVID-DAXX6N,GID-KM84K0,9,0
HVID-8DKKXR,GID-I0RV3H,7,8
HVID-HOZ9C9,GID-KX0YVV,7,6
HVID-RU6A5Q,GID-N24AOS,6,9
HVID-C4NNV6,GID-M4Y8XU,7,3
HVID-8T0JHM,GID-MLYO1V,8,6
HVID-1644TG,GID-NGL92P,8,6
HVID-C5OVI7,GID-3JV866,1,9
HVID-4SY6K5,GID-YQ9U4E,8,0
HVID-VUENHD,GID-HJC7FZ,4,7
HVID-TA0IB7,GID-HN4B00,3,8
HVID-CLJVIM,GID-2Z30WI,3,5
HVID-548EYC,GID-41K5RH,6,3
HVID-SA7HZQ,GID-JEQ8MG,6,8
HVID-LAAIM4,GID-T0U820,9,7
HVID-SNNXOG,GID-AFECWL,5,8
HVID-P1261P,GID-E5OC4P,2,0
HVID-3M1ZOD,GID-AB5OC9,6,8
HVID-5EDQ3J,GID-KQP35I,8,8
HVID-SXKMC2,GID-EGZ2P3,8,8
HVID-BJ4WB7,GID-D8QICE,9,7
HVID-DIFYQR,GID-QQSBDO,8,0
HVID-OSGLBC,GID-W51AJ5,7,8
HVID-01X9CE,GID-Z3H6PI,0,7
HVID-C5UUXM,GID-2BCUJ5,9,3
HVID-PB8BWZ,GID-BKKQFF,9,8
HVID-16B5OX,GID-P0CKAX,3,8
HVID-15Y3YZ,GID-NTPRA1,6,6
HVID-NRSUPM,GID-NKD4Y2,9,7
HVID-EMQOD4,GID-YXL7FK,2,7
HVID-G9IGVD,GID-DIL5NZ,8,2
HVID-ZB39KB,GID-3Z3OEJ,1,8
HVID-KGJ5ZR,GID-SVF0PD,2,7
HVID-AGSZTN,GID-9ALKOP,7,4
HVID-919ALJ,GID-2KI5US,3,7
