,game,game_id,player_id,status,start_time,end_time,player_hand,player_hand_value,banker_hand,banker_hand_value,last_action,player_wager,player_payout,game_outcome,player_bet,player_bet_outcome
14,Baccarat,GID-SO47XC,PID-000034,Success,2023-03-10T15:18:48,2023-03-10T15:22:44,"[{'value': '5', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Spades'}, {'value': 'Q', 'rank': 'Diamonds'}]",5,"[{'value': '7', 'rank': 'Spades'}, {'value': 'K', 'rank': 'Spades'}]",7,initial_deal,715.0,-715.0,Banker wins!,Tie,Player bet on tie losses!
15,Baccarat,GID-G2UDED,PID-000012,Success,2024-06-14T13:53:26,2024-06-14T13:57:05,"[{'value': '2', 'rank': 'Clubs'}, {'value': '4', 'rank': 'Spades'}]",6,"[{'value': '10', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Spades'}]",8,initial_deal,687.0,652.65,Banker wins!,Banker,Player bet on banker wins!
16,Baccarat,GID-E5REGZ,PID-000014,Success,2023-09-15T12:01:57,2023-09-15T12:04:55,"[{'value': '8', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Clubs'}]",8,"[{'value': '9', 'rank': 'Diamonds'}, {'value': '2', 'rank': 'Clubs'}, {'value': '7', 'rank': 'Diamonds'}]",8,banker_draw,470.0,-470.0,It's a tie!,Player,Player bet on player losses!
17,Baccarat,GID-07Y1M7,PID-000007,Success,2023-01-17T19:02:15,2023-01-17T19:03:34,"[{'value': '8', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Clubs'}]",8,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}]",6,initial_deal,699.0,699.0,Player wins!,Player,Player bet on player wins!
18,Baccarat,GID-B8IVRF,PID-000043,Success,2024-02-12T13:18:06,2024-02-12T13:21:01,"[{'value': '7', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Diamonds'}]",7,"[{'value': '9', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Spades'}]",9,initial_deal,981.0,-981.0,Banker wins!,Tie,Player bet on tie losses!
19,Baccarat,GID-13XEJS,PID-000009,Success,2023-05-05T13:49:41,2023-05-05T13:51:40,"[{'value': '6', 'rank': 'Diamonds'}, {'value': '5', 'rank': 'Spades'}, {'value': '9', 'rank': 'Spades'}]",0,"[{'value': '7', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Diamonds'}]",7,initial_deal,524.0,-524.0,Banker wins!,Tie,Player bet on tie losses!
20,Baccarat,GID-KIJWN3,PID-000046,Success,2023-06-24T19:53:10,2023-06-24T19:56:59,"[{'value': '8', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}, {'value': 'J', 'rank': 'Spades'}]",4,"[{'value': 'Q', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Hearts'}]",8,banker_draw,281.0,-281.0,Banker wins!,Player,Player bet on player losses!
21,Baccarat,GID-BMZO1W,PID-000020,Success,2023-02-14T11:13:31,2023-02-14T11:15:26,"[{'value': '10', 'rank': 'Hearts'}, {'value': '5', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Diamonds'}]",5,"[{'value': '2', 'rank': 'Hearts'}, {'value': '6', 'rank': 'Diamonds'}]",8,initial_deal,920.0,874.0,Banker wins!,Banker,Player bet on banker wins!
22,Baccarat,GID-BIAPQJ,PID-000015,Success,2023-08-06T09:08:11,2023-08-06T09:09:40,"[{'value': 'J', 'rank': 'Clubs'}, {'value': 'K', 'rank': 'Clubs'}, {'value': 'J', 'rank': 'Spades'}]",0,"[{'value': 'A', 'rank': 'Hearts'}, {'value': '7', 'rank': 'Spades'}]",8,initial_deal,909.0,-909.0,Banker wins!,Tie,Player bet on tie losses!
23,Baccarat,GID-73PB43,PID-000042,Success,2024-01-30T12:56:49,2024-01-30T13:00:43,"[{'value': '2', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Spades'}]",8,"[{'value': '8', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",7,initial_deal,85.0,-85.0,Player wins!,Banker,Player bet on banker losses!
24,Baccarat,GID-XSZEVL,PID-000001,Success,2023-03-20T08:49:25,2023-03-20T08:52:15,"[{'value': '7', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Hearts'}, {'value': '4', 'rank': 'Hearts'}]",9,"[{'value': '7', 'rank': 'Clubs'}, {'value': 'A', 'rank': 'Spades'}]",8,initial_deal,519.0,519.0,Player wins!,Player,Player bet on player wins!
25,Baccarat,GID-F9URRS,PID-000030,Success,2023-09-03T19:57:52,2023-09-03T20:01:48,"[{'value': 'Q', 'rank': 'Hearts'}, {'value': '2', 'rank': 'Clubs'}, {'value': '7', 'rank': 'Spades'}]",9,"[{'value': '10', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",9,initial_deal,330.0,-330.0,It's a tie!,Player,Player bet on player losses!
26,Baccarat,GID-JOQIX8,PID-000029,Success,2023-07-21T09:22:52,2023-07-21T09:24:51,"[{'value': '2', 'rank': 'Hearts'}, {'value': '6', 'rank': 'Clubs'}]",8,"[{'value': '9', 'rank': 'Diamonds'}, {'value': 'Q', 'rank': 'Diamonds'}]",9,initial_deal,624.0,592.8,Banker wins!,Banker,Player bet on banker wins!
27,Baccarat,GID-N42K40,PID-000026,Success,2023-05-19T04:43:44,2023-05-19T04:45:40,"[{'value': '6', 'rank': 'Spades'}, {'value': 'Q', 'rank': 'Spades'}]",6,"[{'value': '8', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Diamonds'}]",8,initial_deal,523.0,496.84999999999997,Banker wins!,Banker,Player bet on banker wins!
28,Baccarat,GID-54Z326,PID-000018,Success,2024-04-28T21:12:57,2024-04-28T21:16:55,"[{'value': '2', 'rank': 'Hearts'}, {'value': '6', 'rank': 'Clubs'}]",8,"[{'value': '8', 'rank': 'Clubs'}, {'value': 'J', 'rank': 'Spades'}]",8,initial_deal,410.0,-410.0,It's a tie!,Banker,Player bet on banker losses!
29,Baccarat,GID-B99XBG,PID-000024,Success,2023-12-26T09:00:47,2023-12-26T09:03:45,"[{'value': '3', 'rank': 'Clubs'}, {'value': '10', 'rank': 'Spades'}, {'value': '7', 'rank': 'Diamonds'}]",0,"[{'value': '7', 'rank': 'Clubs'}, {'value': '7', 'rank': 'Spades'}, {'value': '3', 'rank': 'Spades'}]",7,banker_draw,49.0,-49.0,Banker wins!,Tie,Player bet on tie losses!
30,Baccarat,GID-RFOSER,PID-000023,Success,2023-08-07T16:41:52,2023-08-07T16:44:44,"[{'value': 'J', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Clubs'}]",8,"[{'value': '2', 'rank': 'Spades'}, {'value': '6', 'rank': 'Spades'}]",8,initial_deal,87.0,-87.0,It's a tie!,Player,Player bet on player losses!
31,Baccarat,GID-83E9KD,PID-000034,Success,2023-04-17T12:47:40,2023-04-17T12:49:20,"[{'value': 'K', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Diamonds'}, {'value': '5', 'rank': 'Spades'}]",5,"[{'value': '4', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Diamonds'}, {'value': 'A', 'rank': 'Hearts'}]",5,banker_draw,874.0,-874.0,It's a tie!,Player,Player bet on player losses!
32,Baccarat,GID-GELM3E,PID-000049,Success,2024-01-15T21:35:21,2024-01-15T21:36:58,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '7', 'rank': 'Spades'}]",7,"[{'value': '2', 'rank': 'Hearts'}, {'value': '10', 'rank': 'Diamonds'}, {'value': 'A', 'rank': 'Clubs'}]",3,banker_draw,199.0,199.0,Player wins!,Player,Player bet on player wins!
33,Baccarat,GID-DYYQ42,PID-000009,Success,2023-06-13T07:08:26,2023-06-13T07:12:00,"[{'value': 'Q', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Clubs'}]",6,"[{'value': '4', 'rank': 'Diamonds'}, {'value': '5', 'rank': 'Spades'}]",9,initial_deal,554.0,526.3,Banker wins!,Banker,Player bet on banker wins!
34,Baccarat,GID-TWVPT0,PID-000031,Success,2023-03-16T04:59:08,2023-03-16T05:01:42,"[{'value': '6', 'rank': 'Hearts'}, {'value': '7', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Spades'}]",2,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",9,initial_deal,411.0,390.45,Banker wins!,Banker,Player bet on banker wins!
35,Baccarat,GID-3LVL3N,PID-000007,Success,2023-09-20T04:46:25,2023-09-20T04:50:17,"[{'value': '10', 'rank': 'Clubs'}, {'value': '8', 'rank': 'Spades'}]",8,"[{'value': '6', 'rank': 'Hearts'}, {'value': '10', 'rank': 'Hearts'}]",6,initial_deal,102.0,-102.0,Player wins!,Banker,Player bet on banker losses!
36,Baccarat,GID-FXL5VP,PID-000020,Success,2024-04-02T10:09:02,2024-04-02T10:10:33,"[{'value': '3', 'rank': 'Hearts'}, {'value': '5', 'rank': 'Spades'}]",8,"[{'value': '9', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Spades'}]",7,initial_deal,653.0,-653.0,Player wins!,Banker,Player bet on banker losses!
37,Baccarat,GID-SDWIXL,PID-000017,Success,2023-07-24T03:52:22,2023-07-24T03:54:44,"[{'value': '10', 'rank': 'Clubs'}, {'value': 'Q', 'rank': 'Spades'}, {'value': '6', 'rank': 'Clubs'}]",6,"[{'value': 'K', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Spades'}]",9,initial_deal,748.0,710.6,Banker wins!,Banker,Player bet on banker wins!
38,Baccarat,GID-3J8U64,PID-000018,Success,2023-04-10T14:58:58,2023-04-10T15:00:57,"[{'value': '4', 'rank': 'Spades'}, {'value': '7', 'rank': 'Spades'}, {'value': '4', 'rank': 'Hearts'}]",5,"[{'value': '8', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Spades'}]",8,initial_deal,619.0,-619.0,Banker wins!,Tie,Player bet on tie losses!
39,Baccarat,GID-HGUA4R,PID-000011,Success,2024-06-17T18:29:46,2024-06-17T18:33:39,"[{'value': '4', 'rank': 'Spades'}, {'value': 'K', 'rank': 'Spades'}, {'value': '10', 'rank': 'Hearts'}]",4,"[{'value': '4', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Clubs'}, {'value': '4', 'rank': 'Hearts'}]",6,banker_draw,686.0,-686.0,Banker wins!,Tie,Player bet on tie losses!
40,Baccarat,GID-3SKARA,PID-000016,Success,2024-03-07T15:20:10,2024-03-07T15:21:23,"[{'value': '2', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}]",8,"[{'value': '2', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Clubs'}, {'value': '2', 'rank': 'Clubs'}]",2,banker_draw,804.0,-804.0,Player wins!,Tie,Player bet on tie losses!
41,Baccarat,GID-J8AY9R,PID-000033,Success,2023-01-01T01:26:38,2023-01-01T01:28:32,"[{'value': '8', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Spades'}]",8,"[{'value': '4', 'rank': 'Hearts'}, {'value': '2', 'rank': 'Spades'}]",6,initial_deal,146.0,146.0,Player wins!,Player,Player bet on player wins!
42,Baccarat,GID-M3JAIF,PID-000012,Success,2023-08-02T05:48:34,2023-08-02T05:51:20,"[{'value': '6', 'rank': 'Hearts'}, {'value': '2', 'rank': 'Diamonds'}]",8,"[{'value': '9', 'rank': 'Hearts'}, {'value': 'J', 'rank': 'Diamonds'}]",9,initial_deal,562.0,533.9,Banker wins!,Banker,Player bet on banker wins!
43,Baccarat,GID-42KGBQ,PID-000011,Success,2023-11-24T13:10:54,2023-11-24T13:12:50,"[{'value': '6', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Diamonds'}]",6,"[{'value': 'Q', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Diamonds'}, {'value': 'K', 'rank': 'Clubs'}]",0,banker_draw,765.0,-765.0,Player wins!,Tie,Player bet on tie losses!
44,Baccarat,GID-3YO7K7,PID-000041,Success,2024-05-26T23:34:45,2024-05-26T23:37:31,"[{'value': '3', 'rank': 'Hearts'}, {'value': '5', 'rank': 'Clubs'}]",8,"[{'value': 'A', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Spades'}]",7,initial_deal,817.0,-817.0,Player wins!,Banker,Player bet on banker losses!
45,Baccarat,GID-1BR1SF,PID-000046,Success,2024-06-02T02:08:22,2024-06-02T02:10:44,"[{'value': '5', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Hearts'}, {'value': '6', 'rank': 'Hearts'}]",1,"[{'value': 'K', 'rank': 'Clubs'}, {'value': 'K', 'rank': 'Spades'}, {'value': '10', 'rank': 'Hearts'}]",0,banker_draw,927.0,927.0,Player wins!,Player,Player bet on player wins!
46,Baccarat,GID-T3HLMV,PID-000029,Success,2024-01-20T12:51:22,2024-01-20T12:54:48,"[{'value': '5', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}, {'value': '6', 'rank': 'Diamonds'}]",7,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Clubs'}]",8,initial_deal,762.0,-762.0,Banker wins!,Tie,Player bet on tie losses!
47,Baccarat,GID-WPCEZ7,PID-000006,Success,2023-01-18T10:50:16,2023-01-18T10:52:07,"[{'value': '7', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Diamonds'}]",6,"[{'value': '2', 'rank': 'Diamonds'}, {'value': '5', 'rank': 'Clubs'}]",7,initial_deal,622.0,-622.0,Banker wins!,Player,Player bet on player losses!
48,Baccarat,GID-78PZVX,PID-000011,Success,2024-01-26T03:28:34,2024-01-26T03:32:13,"[{'value': '8', 'rank': 'Hearts'}, {'value': 'A', 'rank': 'Diamonds'}]",9,"[{'value': '10', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",9,initial_deal,840.0,-840.0,It's a tie!,Banker,Player bet on banker losses!
49,Baccarat,GID-HAH01G,PID-000027,Success,2023-08-19T13:46:07,2023-08-19T13:49:41,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '2', 'rank': 'Clubs'}, {'value': '7', 'rank': 'Diamonds'}]",9,"[{'value': '6', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Hearts'}]",6,initial_deal,521.0,521.0,Player wins!,Player,Player bet on player wins!
50,Baccarat,GID-CYJ9O9,PID-000026,Success,2024-04-24T16:46:32,2024-04-24T16:49:21,"[{'value': '4', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Clubs'}, {'value': '7', 'rank': 'Spades'}]",1,"[{'value': 'A', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Clubs'}]",7,initial_deal,517.0,-517.0,Banker wins!,Tie,Player bet on tie losses!
51,Baccarat,GID-EK5AMC,PID-000003,Success,2023-04-12T20:43:53,2023-04-12T20:46:47,"[{'value': 'A', 'rank': 'Clubs'}, {'value': 'Q', 'rank': 'Spades'}, {'value': '3', 'rank': 'Spades'}]",4,"[{'value': '2', 'rank': 'Diamonds'}, {'value': '5', 'rank': 'Clubs'}]",7,initial_deal,949.0,901.55,Banker wins!,Banker,Player bet on banker wins!
52,Baccarat,GID-MA6YPM,PID-000037,Success,2023-03-03T04:38:12,2023-03-03T04:40:42,"[{'value': 'Q', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Clubs'}, {'value': 'K', 'rank': 'Clubs'}]",0,"[{'value': '4', 'rank': 'Clubs'}, {'value': 'A', 'rank': 'Spades'}, {'value': '2', 'rank': 'Spades'}]",7,banker_draw,230.0,-230.0,Banker wins!,Tie,Player bet on tie losses!
53,Baccarat,GID-YPCDQ1,PID-000048,Success,2024-01-23T17:13:20,2024-01-23T17:17:09,"[{'value': '6', 'rank': 'Clubs'}, {'value': '3', 'rank': 'Spades'}]",9,"[{'value': '8', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Diamonds'}]",8,initial_deal,548.0,-548.0,Player wins!,Banker,Player bet on banker losses!
54,Baccarat,GID-11PCJL,PID-000015,Success,2023-10-27T01:47:20,2023-10-27T01:49:44,"[{'value': '3', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Hearts'}, {'value': '7', 'rank': 'Diamonds'}]",0,"[{'value': '10', 'rank': 'Hearts'}, {'value': '3', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Spades'}]",1,banker_draw,778.0,-778.0,Banker wins!,Tie,Player bet on tie losses!
55,Baccarat,GID-0PUL6L,PID-000028,Success,2023-02-19T00:06:26,2023-02-19T00:09:55,"[{'value': '8', 'rank': 'Diamonds'}, {'value': 'K', 'rank': 'Clubs'}]",8,"[{'value': '3', 'rank': 'Spades'}, {'value': '5', 'rank': 'Spades'}]",8,initial_deal,229.0,1832.0,It's a tie!,Tie,Player bet on tie wins!
56,Baccarat,GID-RTWIJO,PID-000014,Success,2024-04-15T22:03:46,2024-04-15T22:05:35,"[{'value': '9', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Clubs'}]",9,"[{'value': '3', 'rank': 'Hearts'}, {'value': '4', 'rank': 'Clubs'}]",7,initial_deal,992.0,992.0,Player wins!,Player,Player bet on player wins!
57,Baccarat,GID-62QFZZ,PID-000029,Success,2024-05-05T07:09:58,2024-05-05T07:13:57,"[{'value': '3', 'rank': 'Hearts'}, {'value': '3', 'rank': 'Diamonds'}]",6,"[{'value': '6', 'rank': 'Clubs'}, {'value': '3', 'rank': 'Spades'}]",9,initial_deal,798.0,758.0999999999999,Banker wins!,Banker,Player bet on banker wins!
58,Baccarat,GID-8DEQ72,PID-000003,Success,2024-05-11T13:24:45,2024-05-11T13:26:37,"[{'value': '7', 'rank': 'Clubs'}, {'value': '4', 'rank': 'Spades'}, {'value': 'J', 'rank': 'Hearts'}]",1,"[{'value': '3', 'rank': 'Clubs'}, {'value': '9', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Spades'}]",8,banker_draw,171.0,162.45,Banker wins!,Banker,Player bet on banker wins!
59,Baccarat,GID-3I7JAX,PID-000039,Success,2023-07-09T21:25:53,2023-07-09T21:28:47,"[{'value': '4', 'rank': 'Hearts'}, {'value': '4', 'rank': 'Clubs'}]",8,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Spades'}]",9,initial_deal,362.0,-362.0,Banker wins!,Tie,Player bet on tie losses!
60,Baccarat,GID-LMCHIM,PID-000021,Success,2024-01-31T05:44:02,2024-01-31T05:45:08,"[{'value': 'Q', 'rank': 'Hearts'}, {'value': 'A', 'rank': 'Clubs'}, {'value': 'A', 'rank': 'Hearts'}]",2,"[{'value': '3', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Spades'}]",9,initial_deal,222.0,-222.0,Banker wins!,Player,Player bet on player losses!
61,Baccarat,GID-3OH893,PID-000021,Success,2023-01-21T10:23:29,2023-01-21T10:25:27,"[{'value': '7', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Clubs'}]",7,"[{'value': 'J', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}]",6,initial_deal,171.0,171.0,Player wins!,Player,Player bet on player wins!
62,Baccarat,GID-OWFMW6,PID-000013,Success,2024-06-04T20:51:49,2024-06-04T20:53:44,"[{'value': '3', 'rank': 'Spades'}, {'value': '9', 'rank': 'Spades'}, {'value': 'A', 'rank': 'Clubs'}]",3,"[{'value': '10', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Diamonds'}]",8,initial_deal,677.0,-677.0,Banker wins!,Player,Player bet on player losses!
63,Baccarat,GID-BRG3B5,PID-000043,Success,2024-06-25T17:23:45,2024-06-25T17:25:36,"[{'value': 'A', 'rank': 'Clubs'}, {'value': '5', 'rank': 'Spades'}]",6,"[{'value': '4', 'rank': 'Clubs'}, {'value': 'J', 'rank': 'Clubs'}, {'value': '5', 'rank': 'Hearts'}]",9,banker_draw,172.0,-172.0,Banker wins!,Tie,Player bet on tie losses!
64,Baccarat,GID-2OTIJK,PID-000040,Success,2024-02-02T05:30:43,2024-02-02T05:33:35,"[{'value': 'K', 'rank': 'Diamonds'}, {'value': 'A', 'rank': 'Clubs'}, {'value': '4', 'rank': 'Hearts'}]",5,"[{'value': 'Q', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Spades'}]",9,initial_deal,936.0,-936.0,Banker wins!,Tie,Player bet on tie losses!
65,Baccarat,GID-VLRD83,PID-000007,Success,2023-08-30T05:26:12,2023-08-30T05:30:06,"[{'value': '9', 'rank': 'Diamonds'}, {'value': 'K', 'rank': 'Diamonds'}]",9,"[{'value': '4', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Spades'}, {'value': '9', 'rank': 'Spades'}]",9,banker_draw,763.0,-763.0,It's a tie!,Banker,Player bet on banker losses!
66,Baccarat,GID-8D7H6U,PID-000006,Success,2024-03-13T05:33:27,2024-03-13T05:36:26,"[{'value': '7', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Spades'}]",7,"[{'value': '3', 'rank': 'Hearts'}, {'value': '3', 'rank': 'Diamonds'}]",6,initial_deal,481.0,-481.0,Player wins!,Tie,Player bet on tie losses!
67,Baccarat,GID-A13J85,PID-000046,Success,2023-02-07T18:34:18,2023-02-07T18:37:56,"[{'value': '6', 'rank': 'Hearts'}, {'value': 'A', 'rank': 'Clubs'}]",7,"[{'value': '9', 'rank': 'Hearts'}, {'value': '4', 'rank': 'Spades'}, {'value': '6', 'rank': 'Diamonds'}]",9,banker_draw,136.0,-136.0,Banker wins!,Tie,Player bet on tie losses!
68,Baccarat,GID-B1MPJK,PID-000011,Success,2023-09-13T08:29:15,2023-09-13T08:32:10,"[{'value': '2', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Clubs'}]",2,"[{'value': '6', 'rank': 'Diamonds'}, {'value': '4', 'rank': 'Spades'}, {'value': '6', 'rank': 'Hearts'}]",6,banker_draw,350.0,-350.0,Banker wins!,Tie,Player bet on tie losses!
